candidate_1,candidate_2,similarity,party_1,party_2,same_party
Christina Sylvest-Noer (A),Mads Simonsen (A),0.16922039253189486,A,A,True
Else Marie Thorgaard (C),Vibeke Westh (A),0.16887669789644677,C,A,False
Rasmus Holme (Ø),Tina Jacobsen (C),0.16877194843249466,Ø,C,False
Emil Samaras (Ø),Tomas Munch Nielsen (F),0.16876445693850872,Ø,F,False
Kim Christiansen (A),Per Odin Thiim Thim (E),0.16867798204623452,A,E,False
Annedorthe Kring (Å),Peter Kristiansen (F),0.1686772859892403,Å,F,False
Emil Samaras (Ø),Henrik Karl Hierl (I),0.16859330327696698,Ø,I,False
Henrik Karl Hierl (I),Kim Hjerrild (Å),0.1685767655841082,I,Å,False
Marie Budtz Andersen (C),Per Odin Thiim Thim (E),0.1685721626222487,C,E,False
Kim Christiansen (A),Merete Winther Hildebrandt (C),0.16849759238619227,A,C,False
Gabriel Egholm Rasmussen (Ø),Henrik Kragelund (C),0.16845980555762738,Ø,C,False
Brian Holm (C),Søren Frost (V),0.16842077503985778,C,V,False
Sofie Kümpel (A),Vibeke Westh (A),0.16834433000853566,A,A,True
Brian Holm (C),Daniel Panduro (Ø),0.1682908576017179,C,Ø,False
Henrik Kragelund (C),Rasmus Edelberg (A),0.168212249307454,C,A,False
Anders Storgaard (C),Kurt Pii (M),0.16813944765451658,C,M,False
Claus Wagenblast-Franck (C),Tina Jacobsen (C),0.16809554334838145,C,C,True
Kim Christiansen (A),Malene Sandfeld (V),0.16798266374650675,A,V,False
Jacob Rosenberg (C),Kim Christiansen (A),0.16788193425196168,C,A,False
Brian Holm (C),Malte Mathies Løcke (A),0.16786524991774815,C,A,False
Isabel Havndrup Aackmann (B),Janek Balling Majewicz (A),0.1678613327441232,B,A,False
Marie Budtz Andersen (C),Rie Jakobsen (C),0.1677384831151134,C,C,True
Bianca Vitting (Ø),Kim Christiansen (A),0.16771678836311282,Ø,A,False
Brian Holm (C),Henrik Karl Hierl (I),0.16765516620078008,C,I,False
Bianca Vitting (Ø),Jens Otto Jarløv (B),0.16759397365790007,Ø,B,False
David Michael Gerschwald (O),Søren Dahlstrøm (A),0.16726231401501426,O,A,False
Henrik Kragelund (C),Rune Rummel (A),0.16719484552842745,C,A,False
Malene Sandfeld (V),Thomas Frank (A),0.16717356463987063,V,A,False
Brian Holm (C),Jan E. Jørgensen (V),0.16712778002357712,C,V,False
Frederik Tuxen Bjerrum (I),Jens Otto Jarløv (B),0.16702450433283975,I,B,False
Freja Fokdal (B),Kim Christiansen (A),0.16699355482225053,B,A,False
Mads Freund (M),Tone Høybye (Ø),0.1668697488725622,M,Ø,False
Jens Otto Jarløv (B),Kristoffer Appel (A),0.1668524072204423,B,A,False
Gabriel Egholm Rasmussen (Ø),Laura Lindahl (C),0.16680385809078688,Ø,C,False
Julius Lundsteen (F),Søren Brønchenburg (C),0.1667798487946712,F,C,False
Malou Ananiassen (C),Marie Budtz Andersen (C),0.16674879674151766,C,C,True
Marie Budtz Andersen (C),Mia Michelle Haugaard (Ø),0.16669891567862735,C,Ø,False
Ebbe Wendt Lorenzen (A),Mads Simonsen (A),0.16669550068476569,A,A,True
Emil Samaras (Ø),Joseph Favilla (I),0.16669051280731298,Ø,I,False
Anne Eggen (Ø),Tim Tue Wodskou (Å),0.1666824396326589,Ø,Å,False
Janek Balling Majewicz (A),Rasmus Holme (Ø),0.16654248855396006,A,Ø,False
Anne Eggen (Ø),Fasael Rehman (C),0.16647543745125337,Ø,C,False
Asbjørn Dalgaard (A),Marie Budtz Andersen (C),0.16629022223507628,A,C,False
Peder Brandhof (C),Tina Jacobsen (C),0.16612124411205018,C,C,True
Freja Fokdal (B),Marie Budtz Andersen (C),0.16599287673483715,B,C,False
Elias Lederhaas (C),Line Østergaard Olsen (I),0.16594246804267127,C,I,False
Henrik Kragelund (C),Kim Hjerrild (Å),0.16589456459971608,C,Å,False
René Hülz (F),Rosa Agersnap Bone (Ø),0.16572516440385598,F,Ø,False
Line Østergaard Olsen (I),Søren Frost (V),0.1655082490653934,I,V,False
Janek Balling Majewicz (A),Jimmy Streit (C),0.16548336491148935,A,C,False
Else Marie Thorgaard (C),Søren Brønchenburg (C),0.16542850960687205,C,C,True
Jimmy Streit (C),Kim Christiansen (A),0.1654277153588648,C,A,False
Bjarke Bisgaard Yolal (F),Tina Jacobsen (C),0.16541904374812,F,C,False
Jacob Rosenberg (C),Søren Dahlstrøm (A),0.16538600221477154,C,A,False
Mads Simonsen (A),Michella Lescher (F),0.1652560903225801,A,F,False
Christina Sylvest-Noer (A),Claude Teisen-Simony (T),0.16504386768765555,A,T,False
Fasael Rehman (C),Mads Simonsen (A),0.16502163232289138,C,A,False
René Hülz (F),Susanne Nørlund Munk (A),0.16493190560629595,F,A,False
Birgit Bech (Ø),Jens Otto Jarløv (B),0.1649216436128516,Ø,B,False
Jimmy Streit (C),René Hülz (F),0.16485933541816006,C,F,False
Lone Loklindt (B),Mads Freund (M),0.164833761555137,B,M,False
René Hülz (F),Søren Brønchenburg (C),0.1646828680375493,F,C,False
Mads Simonsen (A),Malou Ananiassen (C),0.16421938278971132,A,C,False
Anne Eggen (Ø),Rie Jakobsen (C),0.16419896710901707,Ø,C,False
Jens Otto Jarløv (B),Mads Simonsen (A),0.1640559821964577,B,A,False
Thomas Jean Nielsen (M),Tina Jacobsen (C),0.16405285734920397,M,C,False
Janek Balling Majewicz (A),Palle Bisgaard (Ø),0.16404587909981622,A,Ø,False
Kurt Pii (M),Søren Dahlstrøm (A),0.16397584500728823,M,A,False
Joseph Favilla (I),Rune Rummel (A),0.1639291472207317,I,A,False
Brian Holm (C),Vibeke Westh (A),0.16392545875382766,C,A,False
Anders Storgaard (C),Henrik Karl Hierl (I),0.16392470987162613,C,I,False
René Hülz (F),Rune Rummel (A),0.1639153167621297,F,A,False
Kurt Pii (M),Mads Simonsen (A),0.16381952993167695,M,A,False
Joseph Favilla (I),Rami Zouzou (C),0.16381669476879807,I,C,False
Freja Fokdal (B),René Hülz (F),0.16379633330291282,B,F,False
Christina Sylvest-Noer (A),Per Paludan Hansen (V),0.16374873036225865,A,V,False
Per Paludan Hansen (V),Peter Kristiansen (F),0.16356780030801105,V,F,False
Brian Holm (C),Palle Bisgaard (Ø),0.16351955975565471,C,Ø,False
Claude Teisen-Simony (T),Joachim Høyrup (V),0.16351546600286693,T,V,False
Claude Teisen-Simony (T),Sine Heltberg (A),0.16348399511350367,T,A,False
Kim Hjerrild (Å),Tilde Nordin Dræger (Ø),0.16333290730443592,Å,Ø,False
Frederik Tuxen Bjerrum (I),Thomas Frank (A),0.16331501765906392,I,A,False
Joseph Favilla (I),Søren Frost (V),0.16329560777064353,I,V,False
Jesper Jerry Schou Nielsen (F),Preben Boldt (V),0.163219753086204,F,V,False
Julius Lundsteen (F),Tomas Munch Nielsen (F),0.16320809485817045,F,F,True
Else Marie Thorgaard (C),Gabriel Egholm Rasmussen (Ø),0.16320191135793136,C,Ø,False
Tina Jacobsen (C),Tomas Munch Nielsen (F),0.16309213036675813,C,F,False
Mads Simonsen (A),Vibeke Westh (A),0.16292005927299164,A,A,True
Ebbe Wendt Lorenzen (A),Søren Dahlstrøm (A),0.16289710682656638,A,A,True
Daniel Panduro (Ø),Marie Budtz Andersen (C),0.16282066998542113,Ø,C,False
Casper Pedersen (V),Kim Christiansen (A),0.16274788999035705,V,A,False
Asbjørn Dalgaard (A),Per Toni Hansen (B),0.1627099907849843,A,B,False
Mads Freund (M),Michella Lescher (F),0.16269973405911614,M,F,False
Annedorthe Kring (Å),Sine Heltberg (A),0.1624494228091659,Å,A,False
Isabel Havndrup Aackmann (B),Peter Kristiansen (F),0.16237889747145612,B,F,False
Lone Loklindt (B),Thomas Frank (A),0.16228772446612214,B,A,False
Nikolaj Rachdi Bührmann (F),Tone Høybye (Ø),0.1622663008862794,F,Ø,False
Eva Bechmann (Æ),Peter Kristiansen (F),0.16224264659741772,Æ,F,False
Carina Høedt (C),René Hülz (F),0.16224152950998552,C,F,False
Emil Samaras (Ø),Pil Yildiz (Ø),0.1621743565749287,Ø,Ø,True
Joseph Favilla (I),Kurt Pii (M),0.1621325858858157,I,M,False
Julius Lundsteen (F),Sine Heltberg (A),0.16190627684749911,F,A,False
Eva Bechmann (Æ),Kim Christiansen (A),0.16189436514651853,Æ,A,False
August Gade (F),Kim Christiansen (A),0.16184174787055722,F,A,False
Michella Lescher (F),Peter Kristiansen (F),0.16178804691921453,F,F,True
Jens Otto Jarløv (B),Nikolaj Bøgh (C),0.16167650937673775,B,C,False
Nikolaj Bøgh (C),Sine Heltberg (A),0.16164232511135543,C,A,False
Ebbe Wendt Lorenzen (A),Janek Balling Majewicz (A),0.16160648976756362,A,A,True
Janek Balling Majewicz (A),Malte Mathies Løcke (A),0.16152050333680057,A,A,True
Brian Holm (C),Rasmus Edelberg (A),0.16151947384196635,C,A,False
Asbjørn Dalgaard (A),Janek Balling Majewicz (A),0.16146319051865454,A,A,True
Birgit Bech (Ø),Peter Kristiansen (F),0.16137957984049223,Ø,F,False
Laura Lindahl (C),Nikolaj Bøgh (C),0.1613076573224399,C,C,True
David Michael Gerschwald (O),Else Marie Thorgaard (C),0.16124268218720098,O,C,False
Laura Lindahl (C),Søren Dahlstrøm (A),0.1611670751504802,C,A,False
Helle Sjelle (M),Mads Freund (M),0.16116633565986632,M,M,True
Claude Teisen-Simony (T),Elias Lederhaas (C),0.16101810460267274,T,C,False
Jesper Jerry Schou Nielsen (F),Rikke Alice Bille (B),0.16072880465830752,F,B,False
Else Marie Thorgaard (C),Rasmus Edelberg (A),0.16072226006792178,C,A,False
Jesper Ronald Jensen (C),Per Toni Hansen (B),0.1606124628225773,C,B,False
Kim Christiansen (A),Preben Boldt (V),0.16054345870670222,A,V,False
Claus Wagenblast-Franck (C),Jesper Jerry Schou Nielsen (F),0.16042494346536276,C,F,False
Jens Otto Jarløv (B),Julius Lundsteen (F),0.16029612767785345,B,F,False
Else Guldager (Ø),Marie Budtz Andersen (C),0.16017889815621839,Ø,C,False
Claude Teisen-Simony (T),Malou Ananiassen (C),0.16012963007146142,T,C,False
Cecilie Fisker (M),Peder Brandhof (C),0.1599830474687747,M,C,False
Cecilie Fisker (M),Line Østergaard Olsen (I),0.159902459905629,M,I,False
Joseph Favilla (I),Peder Brandhof (C),0.1597682570691234,I,C,False
Line Østergaard Olsen (I),Rasmus Edelberg (A),0.15976581985304747,I,A,False
Lotte Kofoed (F),René Hülz (F),0.15970563006215474,F,F,True
Kim Christiansen (A),Rikke Alice Bille (B),0.15960105436588337,A,B,False
Kim Christiansen (A),Kurt Pii (M),0.1595650573961683,A,M,False
Jacob Rosenberg (C),Nikolaj Rachdi Bührmann (F),0.15942413036050088,C,F,False
Claude Teisen-Simony (T),Matthew Dawids (O),0.15934664877518373,T,O,False
Mads Simonsen (A),Tomas Munch Nielsen (F),0.15921928416296116,A,F,False
Freja Fokdal (B),Peter Kristiansen (F),0.15911377363741777,B,F,False
Gabriel Egholm Rasmussen (Ø),Marie Budtz Andersen (C),0.15895524627775265,Ø,C,False
Mette Bram (Å),Peter Kristiansen (F),0.15891390708384556,Å,F,False
Malte Mathies Løcke (A),Marie Budtz Andersen (C),0.15887854862024636,A,C,False
Caspar Stefani (C),Kim Christiansen (A),0.1588643187891082,C,A,False
Claus Wagenblast-Franck (C),Marie Budtz Andersen (C),0.15874450570241028,C,C,True
Lotte Kofoed (F),Thomas Frank (A),0.15874028007043664,F,A,False
René Hülz (F),Tina Jacobsen (C),0.15873466535872685,F,C,False
Elias Lederhaas (C),Marie Budtz Andersen (C),0.15868907559876197,C,C,True
Cecilie Fisker (M),René Hülz (F),0.15860564046102887,M,F,False
Britt Dam (A),Else Marie Thorgaard (C),0.15859527301526802,A,C,False
Freja Fokdal (B),Mads Freund (M),0.15852222835788266,B,M,False
Malte Mathies Løcke (A),Peder Brandhof (C),0.15851654728347286,A,C,False
Ebbe Wendt Lorenzen (A),Kim Christiansen (A),0.15849429849848673,A,A,True
Asbjørn Dalgaard (A),Else Marie Thorgaard (C),0.1583787994538825,A,C,False
Lone Loklindt (B),Søren Dahlstrøm (A),0.1581845950569873,B,A,False
Line Østergaard Olsen (I),Matthew Dawids (O),0.15817010530522504,I,O,False
Fasael Rehman (C),Mads Freund (M),0.15805399402692305,C,M,False
Kim Christiansen (A),Palle Bisgaard (Ø),0.15794601213250173,A,Ø,False
Carina Høedt (C),Kim Christiansen (A),0.15782759066392965,C,A,False
Else Marie Thorgaard (C),Jesper Ronald Jensen (C),0.1578095690207311,C,C,True
Per Toni Hansen (B),Rikke Alice Bille (B),0.15772823794414473,B,B,True
Casper Pedersen (V),Peder Brandhof (C),0.15766272371895698,V,C,False
Daniel Panduro (Ø),Mads Freund (M),0.15765952139512532,Ø,M,False
August Gade (F),Janek Balling Majewicz (A),0.1576381912196541,F,A,False
Peder Brandhof (C),Rikke Alice Bille (B),0.15755807932879975,C,B,False
August Gade (F),Peter Kristiansen (F),0.1573040105460272,F,F,True
Sine Heltberg (A),Tina Jacobsen (C),0.1572764258908548,A,C,False
Bjarke Bisgaard Yolal (F),Henrik Kragelund (C),0.1571508029235115,F,C,False
Jens Otto Jarløv (B),Pil Yildiz (Ø),0.15708696639226677,B,Ø,False
Joachim Høyrup (V),Per Toni Hansen (B),0.1570310629294907,V,B,False
Birgit Bech (Ø),Julius Lundsteen (F),0.15703047113804025,Ø,F,False
Joseph Favilla (I),Tilde Nordin Dræger (Ø),0.156947984550971,I,Ø,False
Cecilie Fisker (M),Thomas Frank (A),0.15674031982756945,M,A,False
Frederik Tuxen Bjerrum (I),Thomas Mølgaard Andersen (Å),0.15659022007033335,I,Å,False
Janek Balling Majewicz (A),Joachim Høyrup (V),0.15651428376512314,A,V,False
Cecilie Fisker (M),Jens Otto Jarløv (B),0.15647475412097908,M,B,False
Claude Teisen-Simony (T),Rosa Agersnap Bone (Ø),0.1564373887725451,T,Ø,False
Joachim Høyrup (V),Sofie Kümpel (A),0.15634129233434071,V,A,False
Else Guldager (Ø),Søren Dahlstrøm (A),0.15622254028928434,Ø,A,False
Mads Freund (M),Malene Sandfeld (V),0.15606410297159673,M,V,False
Per Paludan Hansen (V),Rami Zouzou (C),0.15602626956116109,V,C,False
Peder Brandhof (C),Rie Jakobsen (C),0.15602104558026172,C,C,True
Anne Eggen (Ø),Vibeke Westh (A),0.1558980497492799,Ø,A,False
Anders Storgaard (C),Matthew Dawids (O),0.1558980452485611,C,O,False
Malou Ananiassen (C),Søren Dahlstrøm (A),0.15578259550004012,C,A,False
Frederik Tuxen Bjerrum (I),Nikolaj Rachdi Bührmann (F),0.15571697112179056,I,F,False
Bettina Palle (I),Mette Bram (Å),0.15567177576273447,I,Å,False
Eva Bechmann (Æ),Søren Dahlstrøm (A),0.1556688764667847,Æ,A,False
Bianca Vitting (Ø),Marie Budtz Andersen (C),0.1556560981310756,Ø,C,False
Gabriel Egholm Rasmussen (Ø),Tilde Nordin Dræger (Ø),0.1554892697713861,Ø,Ø,True
Joachim Høyrup (V),Thomas Frank (A),0.1554834545885349,V,A,False
Janek Balling Majewicz (A),Mette Bram (Å),0.15524766524393066,A,Å,False
Preben Boldt (V),Søren Dahlstrøm (A),0.1551899060348056,V,A,False
Nikolaj Rachdi Bührmann (F),Rosa Agersnap Bone (Ø),0.1551733128698096,F,Ø,False
Anne Eggen (Ø),August Gade (F),0.1548881537777558,Ø,F,False
Søren Dahlstrøm (A),Tomas Munch Nielsen (F),0.1548121505267751,A,F,False
Brian Holm (C),Kim Hjerrild (Å),0.1547705119291815,C,Å,False
David Michael Gerschwald (O),Jesper Jerry Schou Nielsen (F),0.15448741162224663,O,F,False
Frederik Tuxen Bjerrum (I),Kim Christiansen (A),0.15432682418066265,I,A,False
Isabel Havndrup Aackmann (B),Mads Freund (M),0.15428862714938116,B,M,False
Anne Eggen (Ø),Tone Høybye (Ø),0.1542398705475758,Ø,Ø,True
Line Østergaard Olsen (I),Palle Bisgaard (Ø),0.15415030491808934,I,Ø,False
Kristoffer Appel (A),Thomas Frank (A),0.15404817686148503,A,A,True
Birgit Bech (Ø),Marie Budtz Andersen (C),0.153871374001268,Ø,C,False
Else Marie Thorgaard (C),Jan E. Jørgensen (V),0.1537599543436608,C,V,False
Jens Otto Jarløv (B),Merete Winther Hildebrandt (C),0.1536745992071664,B,C,False
Henrik Kragelund (C),Nikolaj Bøgh (C),0.15363308744482318,C,C,True
Eva Bechmann (Æ),Mads Freund (M),0.15354948274924074,Æ,M,False
René Hülz (F),Søren Frost (V),0.15347338764087182,F,V,False
Jens Otto Jarløv (B),Rasmus Edelberg (A),0.1534151648198015,B,A,False
Julius Lundsteen (F),Laura Lindahl (C),0.15337471937147595,F,C,False
Rie Jakobsen (C),Søren Dahlstrøm (A),0.153310722032621,C,A,False
Pil Yildiz (Ø),Sofie Kümpel (A),0.15329685180134886,Ø,A,False
Daniel Panduro (Ø),Sofie Kümpel (A),0.15307960292377085,Ø,A,False
Carina Høedt (C),Mads Simonsen (A),0.15307147460807116,C,A,False
Joseph Favilla (I),Rasmus Holme (Ø),0.15296573570851182,I,Ø,False
August Gade (F),Søren Dahlstrøm (A),0.1527672931589471,F,A,False
Christina Sylvest-Noer (A),Janek Balling Majewicz (A),0.15273311645062754,A,A,True
Fasael Rehman (C),Kim Christiansen (A),0.15267085269054273,C,A,False
Else Marie Thorgaard (C),Rikke Alice Bille (B),0.15250843229996996,C,B,False
Michella Lescher (F),Thomas Frank (A),0.1524814164231755,F,A,False
Else Guldager (Ø),Thomas Frank (A),0.15236550590631887,Ø,A,False
Carina Høedt (C),Janek Balling Majewicz (A),0.15232834201286025,C,A,False
Casper Pedersen (V),Sofie Kümpel (A),0.15212014323695375,V,A,False
Anne Eggen (Ø),Carina Høedt (C),0.15209430972706856,Ø,C,False
Kristoffer Appel (A),Per Paludan Hansen (V),0.15206152508069073,A,V,False
Matthew Dawids (O),Sine Heltberg (A),0.15173256241962274,O,A,False
Mads Simonsen (A),Tone Høybye (Ø),0.15163895723056448,A,Ø,False
Mads Freund (M),Rie Jakobsen (C),0.15150132430377883,M,C,False
Ebbe Wendt Lorenzen (A),Mads Freund (M),0.15127105659130768,A,M,False
Else Marie Thorgaard (C),Kim Hjerrild (Å),0.15114252769515138,C,Å,False
Rosa Agersnap Bone (Ø),Thomas Frank (A),0.15110030921763443,Ø,A,False
Thomas Frank (A),Tim Tue Wodskou (Å),0.15109884106689397,A,Å,False
Else Guldager (Ø),Mads Simonsen (A),0.15105955643106425,Ø,A,False
Anne Eggen (Ø),Joachim Høyrup (V),0.15104295545357868,Ø,V,False
Brian Holm (C),Nikolaj Bøgh (C),0.15097970116786552,C,C,True
Mads Simonsen (A),Mette Bram (Å),0.15097802216578549,A,Å,False
Isabel Havndrup Aackmann (B),Peder Brandhof (C),0.1509114129142566,B,C,False
Else Marie Thorgaard (C),Matthew Dawids (O),0.15088311732285067,C,O,False
Caspar Stefani (C),Joseph Favilla (I),0.15072037770569957,C,I,False
Kurt Pii (M),Per Toni Hansen (B),0.1506100690142895,M,B,False
Henrik Kragelund (C),Laura Lindahl (C),0.15049572225550673,C,C,True
Line Østergaard Olsen (I),Tilde Nordin Dræger (Ø),0.1503720841847433,I,Ø,False
Sine Heltberg (A),Tomas Munch Nielsen (F),0.1503484372733309,A,F,False
August Gade (F),Mads Simonsen (A),0.15033374989471723,F,A,False
Julius Lundsteen (F),Mia Michelle Haugaard (Ø),0.150327921448844,F,Ø,False
Eva Bechmann (Æ),Mads Simonsen (A),0.1502982722467156,Æ,A,False
Kim Christiansen (A),Malou Ananiassen (C),0.15014974976006737,A,C,False
Line Østergaard Olsen (I),Rikke Alice Bille (B),0.1500405283883237,I,B,False
Maj-Britt Mathiesen (C),Sofie Kümpel (A),0.15003290625741092,C,A,False
Per Paludan Hansen (V),Per Toni Hansen (B),0.1499204613146517,V,B,False
David Michael Gerschwald (O),Emil Samaras (Ø),0.14974219933096786,O,Ø,False
Jens Otto Jarløv (B),Malte Mathies Løcke (A),0.14963146059096077,B,A,False
Britt Dam (A),Thomas Frank (A),0.14961314955221378,A,A,True
Anne Eggen (Ø),Rami Zouzou (C),0.14954490456398029,Ø,C,False
Britt Dam (A),Thomas Mølgaard Andersen (Å),0.1494559440622718,A,Å,False
Freja Fokdal (B),Mads Simonsen (A),0.14938801340844204,B,A,False
Isabel Havndrup Aackmann (B),Thomas Frank (A),0.14938163002421692,B,A,False
Daniel Panduro (Ø),Peder Brandhof (C),0.1492219518526249,Ø,C,False
August Gade (F),René Hülz (F),0.14916546124013927,F,F,True
Bianca Vitting (Ø),Mads Freund (M),0.14914780818577628,Ø,M,False
Julius Lundsteen (F),Per Odin Thiim Thim (E),0.14909755734045682,F,E,False
Kurt Pii (M),Thomas Frank (A),0.14907354715305465,M,A,False
Pil Yildiz (Ø),Sine Heltberg (A),0.14890610363425455,Ø,A,False
Marie Budtz Andersen (C),Preben Boldt (V),0.14881547684627203,C,V,False
Emil Samaras (Ø),Rune Rummel (A),0.14879973085837372,Ø,A,False
Frederik Tuxen Bjerrum (I),René Hülz (F),0.14874841741262626,I,F,False
Matthew Dawids (O),René Hülz (F),0.14873822984643792,O,F,False
Claude Teisen-Simony (T),Rami Zouzou (C),0.1486720292425712,T,C,False
Asbjørn Dalgaard (A),Brian Holm (C),0.14860168576587762,A,C,False
Joachim Høyrup (V),Mads Freund (M),0.1484455458040447,V,M,False
Mads Freund (M),Vibeke Westh (A),0.1483783727970898,M,A,False
Peter Kristiansen (F),Rasmus Holme (Ø),0.14810291957687804,F,Ø,False
Line Østergaard Olsen (I),Søren Brønchenburg (C),0.14807649568767256,I,C,False
Caspar Stefani (C),Thomas Frank (A),0.1478581269874055,C,A,False
Else Guldager (Ø),Per Toni Hansen (B),0.1478215397298362,Ø,B,False
Thomas Frank (A),Tone Høybye (Ø),0.14768707019648453,A,Ø,False
Else Marie Thorgaard (C),Søren Frost (V),0.14767533544400033,C,V,False
Anne Eggen (Ø),Malene Sandfeld (V),0.1476750820228911,Ø,V,False
Britt Dam (A),Kim Christiansen (A),0.14760327531032869,A,A,True
Jens Otto Jarløv (B),Rune Rummel (A),0.14759852113872637,B,A,False
Britt Dam (A),Mads Freund (M),0.14757987878583018,A,M,False
Claus Wagenblast-Franck (C),Peter Kristiansen (F),0.14746732769050647,C,F,False
Jan E. Jørgensen (V),Julius Lundsteen (F),0.1474567868429348,V,F,False
Bianca Vitting (Ø),Nikolaj Rachdi Bührmann (F),0.14740970190046956,Ø,F,False
Helle Sjelle (M),Nikolaj Rachdi Bührmann (F),0.14730873028297728,M,F,False
Nikolaj Rachdi Bührmann (F),Susanne Nørlund Munk (A),0.1471836337341063,F,A,False
Peter Kristiansen (F),Tina Jacobsen (C),0.14717578023543001,F,C,False
Henrik Kragelund (C),Peter Kristiansen (F),0.14716200679789454,C,F,False
Malene Sandfeld (V),Peder Brandhof (C),0.1470722685824143,V,C,False
Julius Lundsteen (F),Søren Frost (V),0.14692547356363592,F,V,False
Line Østergaard Olsen (I),Rasmus Holme (Ø),0.14690717783091004,I,Ø,False
Cecilie Fisker (M),Claude Teisen-Simony (T),0.1468818156600584,M,T,False
Freja Fokdal (B),Jens Otto Jarløv (B),0.14686692239571117,B,B,True
Rune Rummel (A),Tilde Nordin Dræger (Ø),0.1468351003140631,A,Ø,False
Brian Holm (C),Thomas Jean Nielsen (M),0.1467478992419374,C,M,False
Else Marie Thorgaard (C),Malou Ananiassen (C),0.1467342074155044,C,C,True
Eva Bechmann (Æ),Jens Otto Jarløv (B),0.14671974592206713,Æ,B,False
Carina Høedt (C),Thomas Frank (A),0.1466741810912242,C,A,False
Caspar Stefani (C),Mads Simonsen (A),0.14661097477153576,C,A,False
Laura Lindahl (C),Line Østergaard Olsen (I),0.1465100893389913,C,I,False
Birgit Bech (Ø),Joseph Favilla (I),0.1464884446717569,Ø,I,False
Lars Berg Andersen (I),Thomas Frank (A),0.14646043962960764,I,A,False
Janek Balling Majewicz (A),Susanne Nørlund Munk (A),0.14641570340056462,A,A,True
Joseph Favilla (I),Nikolaj Bøgh (C),0.14638209775302216,I,C,False
Henrik Karl Hierl (I),Sine Heltberg (A),0.14625980925362972,I,A,False
Bjarke Bisgaard Yolal (F),Jens Otto Jarløv (B),0.14615760148086376,F,B,False
Henrik Karl Hierl (I),Tomas Munch Nielsen (F),0.14609850564625473,I,F,False
Daniel Panduro (Ø),Kim Christiansen (A),0.14591262091883014,Ø,A,False
Marie Budtz Andersen (C),Søren Brønchenburg (C),0.14583830077445184,C,C,True
Mads Simonsen (A),Tim Tue Wodskou (Å),0.1457867728141538,A,Å,False
Elias Lederhaas (C),Kim Christiansen (A),0.1457660000403364,C,A,False
Claude Teisen-Simony (T),Tim Tue Wodskou (Å),0.14560733887275026,T,Å,False
Kristoffer Appel (A),René Hülz (F),0.14548341936946066,A,F,False
Per Paludan Hansen (V),Tim Tue Wodskou (Å),0.14515728396590094,V,Å,False
Ebbe Wendt Lorenzen (A),Marie Budtz Andersen (C),0.14506531565088518,A,C,False
Freja Fokdal (B),Janek Balling Majewicz (A),0.14501419191350132,B,A,False
Anders Storgaard (C),Else Marie Thorgaard (C),0.14501052545382606,C,C,True
Jan E. Jørgensen (V),Marie Budtz Andersen (C),0.1449486823342765,V,C,False
August Gade (F),Jens Otto Jarløv (B),0.14493549386374693,F,B,False
Claude Teisen-Simony (T),Rie Jakobsen (C),0.14488248636364348,T,C,False
Frederik Tuxen Bjerrum (I),Mads Simonsen (A),0.14484586510537967,I,A,False
Bjarke Bisgaard Yolal (F),Peter Kristiansen (F),0.14481473419700916,F,F,True
Anne Eggen (Ø),Jacob Rosenberg (C),0.14469102442807988,Ø,C,False
Bettina Palle (I),Jacob Rosenberg (C),0.14461116814040162,I,C,False
Brian Holm (C),Jesper Ronald Jensen (C),0.1445594702408106,C,C,True
Thomas Frank (A),Vibeke Westh (A),0.14451058222151522,A,A,True
Frederik Tuxen Bjerrum (I),Jesper Jerry Schou Nielsen (F),0.14439342083942588,I,F,False
Henrik Kragelund (C),Rasmus Holme (Ø),0.14432190898808897,C,Ø,False
August Gade (F),Thomas Frank (A),0.14413844790924252,F,A,False
David Michael Gerschwald (O),Julius Lundsteen (F),0.14408013839178055,O,F,False
Henrik Kragelund (C),Mia Michelle Haugaard (Ø),0.14397437466349278,C,Ø,False
Jan E. Jørgensen (V),Line Østergaard Olsen (I),0.14396041694734166,V,I,False
Henrik Kragelund (C),Tomas Munch Nielsen (F),0.14392849504551858,C,F,False
Christina Sylvest-Noer (A),Nikolaj Rachdi Bührmann (F),0.14386637821599993,A,F,False
Claude Teisen-Simony (T),Claus Wagenblast-Franck (C),0.1438368062029493,T,C,False
Anne Eggen (Ø),Per Odin Thiim Thim (E),0.14378414214882226,Ø,E,False
Annedorthe Kring (Å),Jens Otto Jarløv (B),0.1437196389061247,Å,B,False
Kristoffer Appel (A),Mads Simonsen (A),0.14367102195604076,A,A,True
Christina Sylvest-Noer (A),Per Toni Hansen (B),0.14358235592950588,A,B,False
Jan E. Jørgensen (V),René Hülz (F),0.14336535178735557,V,F,False
Mads Simonsen (A),Rikke Alice Bille (B),0.1432971335762599,A,B,False
Per Paludan Hansen (V),Rosa Agersnap Bone (Ø),0.14323369934267421,V,Ø,False
Else Guldager (Ø),Mads Freund (M),0.14318022650743478,Ø,M,False
Christina Sylvest-Noer (A),Sofie Kümpel (A),0.1431663597796894,A,A,True
Brian Holm (C),René Hülz (F),0.1431262746796316,C,F,False
Elias Lederhaas (C),Peter Kristiansen (F),0.14304962650480227,C,F,False
Mette Bram (Å),Søren Dahlstrøm (A),0.14299806517121685,Å,A,False
Anne Eggen (Ø),Eva Bechmann (Æ),0.14288716512333718,Ø,Æ,False
