candidate_1,candidate_2,similarity,party_1,party_2,same_party
Lars Berg Andersen (I),Lone Loklindt (B),0.5532345253249981,I,B,False
August Gade (F),Palle Bisgaard (Ø),0.5528675846072276,F,Ø,False
Eva Bechmann (Æ),Lotte Kofoed (F),0.5525104716991724,Æ,F,False
Lotte Kofoed (F),Palle Bisgaard (Ø),0.5522336034789272,F,Ø,False
Isabel Havndrup Aackmann (B),Lotte Kofoed (F),0.5521386814941905,B,F,False
Rikke Alice Bille (B),Vibeke Westh (A),0.5520921067498459,B,A,False
Carina Høedt (C),Michella Lescher (F),0.552050095989969,C,F,False
Helle Sjelle (M),Rosa Agersnap Bone (Ø),0.5520273399105333,M,Ø,False
Bianca Vitting (Ø),Malte Mathies Løcke (A),0.5514094179627242,Ø,A,False
Eva Bechmann (Æ),Malene Sandfeld (V),0.5514048800293113,Æ,V,False
Jimmy Streit (C),Lotte Kofoed (F),0.5511615481681179,C,F,False
Frederik Tuxen Bjerrum (I),Jimmy Streit (C),0.5510408567680538,I,C,False
Carina Høedt (C),Rosa Agersnap Bone (Ø),0.5510216502724461,C,Ø,False
Lotte Kofoed (F),Malene Sandfeld (V),0.5505989707458365,F,V,False
Christina Sylvest-Noer (A),Isabel Havndrup Aackmann (B),0.5504506248398727,A,B,False
August Gade (F),Mette Bram (Å),0.5503414772851812,F,Å,False
August Gade (F),Jimmy Streit (C),0.5489651335005155,F,C,False
Caspar Stefani (C),Else Guldager (Ø),0.5489396590425019,C,Ø,False
Merete Winther Hildebrandt (C),Rosa Agersnap Bone (Ø),0.5485708931016872,C,Ø,False
Frederik Tuxen Bjerrum (I),Tone Høybye (Ø),0.5479447844819741,I,Ø,False
Isabel Havndrup Aackmann (B),Tone Høybye (Ø),0.5479355643810402,B,Ø,False
Malene Sandfeld (V),Tone Høybye (Ø),0.5479265588955343,V,Ø,False
August Gade (F),Jacob Rosenberg (C),0.5478313224641665,F,C,False
Cecilie Fisker (M),Rosa Agersnap Bone (Ø),0.5474099718658696,M,Ø,False
Kristoffer Appel (A),Tim Tue Wodskou (Å),0.5472627458964251,A,Å,False
Frederik Tuxen Bjerrum (I),Malene Sandfeld (V),0.5471457418426788,I,V,False
Carina Høedt (C),Frederik Tuxen Bjerrum (I),0.5471266466701566,C,I,False
Isabel Havndrup Aackmann (B),Joachim Høyrup (V),0.5470931540525147,B,V,False
Lotte Kofoed (F),Merete Winther Hildebrandt (C),0.5469996963904881,F,C,False
Mette Bram (Å),Rosa Agersnap Bone (Ø),0.5469903883933279,Å,Ø,False
Bianca Vitting (Ø),Carina Høedt (C),0.5469086547263995,Ø,C,False
Anders Storgaard (C),Rasmus Edelberg (A),0.5468908098541205,C,A,False
Cecilie Fisker (M),Kristoffer Appel (A),0.5466279047210457,M,A,False
Christina Sylvest-Noer (A),Rikke Alice Bille (B),0.5464458813170062,A,B,False
Bianca Vitting (Ø),Isabel Havndrup Aackmann (B),0.5461805381878316,Ø,B,False
Asbjørn Dalgaard (A),Rosa Agersnap Bone (Ø),0.5460836727060159,A,Ø,False
Malene Sandfeld (V),Rosa Agersnap Bone (Ø),0.5460138124127236,V,Ø,False
Michella Lescher (F),Tone Høybye (Ø),0.5456872121322797,F,Ø,False
Carina Høedt (C),Cecilie Fisker (M),0.5452702117213566,C,M,False
Carina Høedt (C),Jacob Rosenberg (C),0.5450218356597076,C,C,True
Malene Sandfeld (V),Tim Tue Wodskou (Å),0.5450175322377667,V,Å,False
Daniel Panduro (Ø),Tim Tue Wodskou (Å),0.544214799029397,Ø,Å,False
Helle Sjelle (M),Lotte Kofoed (F),0.5438219667890173,M,F,False
Freja Fokdal (B),Susanne Nørlund Munk (A),0.5428059271056391,B,A,False
Michella Lescher (F),Susanne Nørlund Munk (A),0.5421930015109773,F,A,False
Lotte Kofoed (F),Per Odin Thiim Thim (E),0.5418066783785881,F,E,False
Frederik Tuxen Bjerrum (I),Jacob Rosenberg (C),0.5410576652027965,I,C,False
Freja Fokdal (B),Mette Bram (Å),0.5406176639837493,B,Å,False
Cecilie Fisker (M),Tim Tue Wodskou (Å),0.5405297703824181,M,Å,False
Cecilie Fisker (M),Michella Lescher (F),0.5404501170789725,M,F,False
Jacob Rosenberg (C),Tone Høybye (Ø),0.5402112476074004,C,Ø,False
Frederik Tuxen Bjerrum (I),Joachim Høyrup (V),0.5400021412660744,I,V,False
Eva Bechmann (Æ),Helle Sjelle (M),0.5396604845474021,Æ,M,False
Jimmy Streit (C),Joachim Høyrup (V),0.5396430033095128,C,V,False
Rosa Agersnap Bone (Ø),Vibeke Westh (A),0.539490241705286,Ø,A,False
Jacob Rosenberg (C),Mette Bram (Å),0.5391841186227797,C,Å,False
Kurt Pii (M),Tone Høybye (Ø),0.5389823254340952,M,Ø,False
Anders Storgaard (C),Rasmus Holme (Ø),0.5387631890979077,C,Ø,False
Carina Høedt (C),Isabel Havndrup Aackmann (B),0.5383513688348786,C,B,False
Fasael Rehman (C),Tim Tue Wodskou (Å),0.5381052602034713,C,Å,False
August Gade (F),Merete Winther Hildebrandt (C),0.5379029701552119,F,C,False
Lotte Kofoed (F),Mette Bram (Å),0.5378073211725322,F,Å,False
Lone Loklindt (B),Susanne Nørlund Munk (A),0.5377877706030685,B,A,False
Christina Sylvest-Noer (A),Malene Sandfeld (V),0.5373586234867527,A,V,False
Eva Bechmann (Æ),Tim Tue Wodskou (Å),0.537256217757295,Æ,Å,False
Fasael Rehman (C),Rikke Alice Bille (B),0.5372238831668318,C,B,False
Frederik Tuxen Bjerrum (I),Tim Tue Wodskou (Å),0.5371212086048222,I,Å,False
Malte Mathies Løcke (A),Rasmus Holme (Ø),0.5369565129527906,A,Ø,False
Frederik Tuxen Bjerrum (I),Lone Loklindt (B),0.5369220058505791,I,B,False
Lotte Kofoed (F),Malte Mathies Løcke (A),0.536788095673444,F,A,False
Klaus Eskelund (C),Thomas Frank (A),0.5367249455740247,C,A,False
Isabel Havndrup Aackmann (B),Lone Loklindt (B),0.5367240045883864,B,B,True
Jacob Rosenberg (C),Jimmy Streit (C),0.5365011856632795,C,C,True
Christina Sylvest-Noer (A),Lotte Kofoed (F),0.5363085861068935,A,F,False
Frederik Tuxen Bjerrum (I),Vibeke Westh (A),0.5363083094543574,I,A,False
Fasael Rehman (C),Rosa Agersnap Bone (Ø),0.5357672220877258,C,Ø,False
Jimmy Streit (C),Susanne Nørlund Munk (A),0.5357280528100372,C,A,False
Frederik Tuxen Bjerrum (I),Merete Winther Hildebrandt (C),0.5352977587502279,I,C,False
Else Guldager (Ø),Merete Winther Hildebrandt (C),0.5347065208749966,Ø,C,False
Carina Høedt (C),Joachim Høyrup (V),0.5345431127127813,C,V,False
Ebbe Wendt Lorenzen (A),Susanne Nørlund Munk (A),0.5344208680679998,A,A,True
Carina Høedt (C),Lars Berg Andersen (I),0.5339995755001242,C,I,False
Carina Høedt (C),Malte Mathies Løcke (A),0.5337757709121795,C,A,False
Jimmy Streit (C),Rami Zouzou (C),0.533752334416819,C,C,True
Cecilie Fisker (M),Eva Bechmann (Æ),0.5334816908086205,M,Æ,False
Lone Loklindt (B),Tone Høybye (Ø),0.5331324417656144,B,Ø,False
Casper Pedersen (V),Cecilie Fisker (M),0.5327867751426525,V,M,False
Bianca Vitting (Ø),Freja Fokdal (B),0.5327432263993567,Ø,B,False
Casper Pedersen (V),Fasael Rehman (C),0.532594080097318,V,C,False
Kristoffer Appel (A),Mette Bram (Å),0.532575640148754,A,Å,False
Claus Wagenblast-Franck (C),Rasmus Edelberg (A),0.5322832734322849,C,A,False
Asbjørn Dalgaard (A),Isabel Havndrup Aackmann (B),0.5316044597012488,A,B,False
Caspar Stefani (C),Lars Berg Andersen (I),0.5315443603452721,C,I,False
Fasael Rehman (C),Malou Ananiassen (C),0.5313663979622151,C,C,True
Carina Høedt (C),Mette Bram (Å),0.5311971414855875,C,Å,False
